"utc","process_count","cpu_seconds","private_bytes","working_set_bytes","handles"
"2026-09-07T04:51:45.5986858Z","11","21088.4375","838643712","784896000","5238"
"2026-09-07T04:51:47.0835170Z","11","21088.71875","838733824","784994304","5238"
"2026-09-07T04:51:48.5191764Z","11","21088.921875","838746112","785002496","5238"
"2026-09-07T04:51:49.9458853Z","11","21089.109375","838569984","784838656","5238"
"2026-09-07T04:51:51.3583635Z","11","21089.265625","838574080","784842752","5238"
"2026-09-07T04:51:52.7843980Z","11","21089.5","838574080","784842752","5238"
"2026-09-07T04:51:54.2105456Z","11","21089.6875","838574080","784842752","5238"
"2026-09-07T04:51:55.6844127Z","11","21089.875","838529024","784822272","5238"
"2026-09-07T04:51:57.2117327Z","11","21090.421875","838569984","784838656","5238"
"2026-09-07T04:51:58.7096631Z","11","21090.921875","838569984","784830464","5238"
"2026-09-07T04:52:00.1469497Z","11","21091.296875","838569984","784830464","5238"
"2026-09-07T04:52:01.6896331Z","11","21091.546875","838574080","784834560","5238"
"2026-09-07T04:52:03.2149935Z","11","21091.84375","838578176","784834560","5238"
"2026-09-07T04:52:04.7368615Z","11","21092.125","838586368","784842752","5238"
"2026-09-07T04:52:06.1834660Z","11","21092.359375","838590464","784850944","5239"
"2026-09-07T04:52:07.6618449Z","11","21092.546875","838565888","784842752","5238"
"2026-09-07T04:52:09.1577573Z","11","21092.8125","838602752","784863232","5238"
"2026-09-07T04:52:10.6076097Z","11","21093.03125","838606848","784867328","5238"
"2026-09-07T04:52:12.0905710Z","11","21093.21875","838610944","784871424","5238"
"2026-09-07T04:52:13.5698985Z","11","21093.515625","838615040","784875520","5238"
"2026-09-07T04:52:15.0646983Z","11","21093.859375","838746112","784998400","5238"
"2026-09-07T04:52:16.5482570Z","11","21094.078125","838746112","784998400","5238"
"2026-09-07T04:52:17.9891134Z","11","21094.3125","838717440","784986112","5238"
"2026-09-07T04:52:19.6063579Z","11","21094.609375","838750208","784998400","5238"
"2026-09-07T04:52:21.2051280Z","11","21095.03125","838750208","785002496","5238"
"2026-09-07T04:52:22.6906922Z","11","21095.1875","838758400","785010688","5238"
"2026-09-07T04:52:24.1515209Z","11","21095.359375","838754304","785006592","5238"
"2026-09-07T04:52:25.6046123Z","11","21095.515625","838676480","784977920","5238"
"2026-09-07T04:52:27.0450391Z","11","21095.71875","838762496","785014784","5238"
"2026-09-07T04:52:28.6093500Z","11","21096.03125","838766592","785018880","5238"
"2026-09-07T04:52:30.1222804Z","11","21096.40625","838770688","785022976","5238"
"2026-09-07T04:52:31.6081286Z","11","21096.65625","838774784","785027072","5238"
"2026-09-07T04:52:33.1220048Z","11","21097.015625","838774784","785027072","5238"
"2026-09-07T04:52:34.6682633Z","11","21097.25","838774784","785027072","5238"
"2026-09-07T04:52:36.1575084Z","11","21097.515625","838774784","785027072","5238"
"2026-09-07T04:52:37.6412467Z","11","21097.671875","838774784","785027072","5238"
"2026-09-07T04:52:39.1109459Z","11","21097.890625","838774784","785027072","5238"
"2026-09-07T04:52:40.6552977Z","11","21098.1875","838774784","785027072","5238"
"2026-09-07T04:52:42.2257046Z","11","21098.515625","838782976","785068032","5238"
"2026-09-07T04:52:43.6861129Z","11","21098.671875","838782976","785076224","5238"
"2026-09-07T04:52:45.1735186Z","11","21098.921875","838635520","784904192","5238"
"2026-09-07T04:52:46.5614335Z","11","21099.203125","838631424","784900096","5238"
"2026-09-07T04:52:48.0190394Z","11","21099.453125","838635520","784904192","5238"
"2026-09-07T04:52:49.6046452Z","11","21099.75","838635520","784904192","5238"
"2026-09-07T04:52:51.1289620Z","11","21100.03125","838635520","784900096","5238"
"2026-09-07T04:52:52.7706856Z","11","21100.375","838635520","784900096","5238"
